model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,telea,0.1,O150 -> O300,ssim_attack,300,0.67616959999005,0.677080248494943,0.0009106485048929851,0.0001225501224398613,0.0017156103427211442,True,10000,42
3k_baseline,telea,0.1,O150 -> O300,psnr_final,300,23.3731586933136,23.411635411580402,0.038476718266805016,0.013608469088872274,0.06354289476076762,True,10000,42
3k_baseline,telea,0.1,O150 -> O300,ssim_final,300,0.6815537324547768,0.6826663170258204,0.0011125845710436503,0.00033243203659852344,0.001910418468217055,True,10000,42
3k_baseline,telea,0.3,Random -> O150,ber,300,0.4002222222222222,0.35366666666666663,-0.04655555555555556,-0.05522222222222217,-0.037999999999999964,True,10000,42
3k_baseline,telea,0.3,Random -> O150,psnr_attack,300,24.151468747456867,29.439436111450195,5.287967363993327,5.058903099854787,5.5213734219868975,True,10000,42
3k_baseline,telea,0.3,Random -> O150,ssim_attack,300,0.7373452043533325,0.8567151743173599,0.1193699699640274,0.1138405207892259,0.12496729969481628,True,10000,42
3k_baseline,telea,0.3,Random -> O150,psnr_final,300,23.915054658253986,28.656670347849527,4.74161568959554,4.553851800123851,4.928483337402343,True,10000,42
3k_baseline,telea,0.3,Random -> O150,ssim_final,300,0.7247755766908328,0.8564503832658132,0.13167480657498043,0.12616395388543605,0.13725970941781998,True,10000,42
3k_baseline,telea,0.3,Random -> O300,ber,300,0.4002222222222222,0.35255555555555557,-0.04766666666666667,-0.05588888888888885,-0.03944444444444444,True,10000,42
3k_baseline,telea,0.3,Random -> O300,psnr_attack,300,24.151468747456867,29.391889940897624,5.240421193440755,5.009312207221985,5.475384703000386,True,10000,42
3k_baseline,telea,0.3,Random -> O300,ssim_attack,300,0.7373452043533325,0.8559022937218348,0.1185570893685023,0.11302643307546775,0.12418151081601779,True,10000,42
3k_baseline,telea,0.3,Random -> O300,psnr_final,300,23.915054658253986,28.605069885253908,4.690015226999918,4.5004892234802245,4.877277211030324,True,10000,42
3k_baseline,telea,0.3,Random -> O300,ssim_final,300,0.7247755766908328,0.855647690097491,0.13087211340665816,0.12532951920479538,0.13647584416468939,True,10000,42
3k_baseline,telea,0.3,O150 -> O300,ber,300,0.35366666666666663,0.35255555555555557,-0.0011111111111111124,-0.006888888888888885,0.004666666666666665,False,10000,42
3k_baseline,telea,0.3,O150 -> O300,psnr_attack,300,29.439436111450195,29.391889940897624,-0.04754617055257161,-0.06451269896825154,-0.031042517503102624,True,10000,42
3k_baseline,telea,0.3,O150 -> O300,ssim_attack,300,0.8567151743173599,0.8559022937218348,-0.0008128805955251058,-0.001148944730559985,-0.0004902786165475846,True,10000,42
3k_baseline,telea,0.3,O150 -> O300,psnr_final,300,28.656670347849527,28.605069885253908,-0.051600462595621746,-0.06664371077219645,-0.03712624581654867,True,10000,42
3k_baseline,telea,0.3,O150 -> O300,ssim_final,300,0.8564503832658132,0.855647690097491,-0.0008026931683222453,-0.0011265961329142253,-0.0004983831842740378,True,10000,42
3k_baseline,navier,0.1,Random -> O150,ber,300,0.4863333333333333,0.48344444444444445,-0.0028888888888888883,-0.010999999999999996,0.005111111111111108,False,10000,42
3k_baseline,navier,0.1,Random -> O150,psnr_attack,300,21.590018310546874,24.420712776184082,2.830694465637207,2.6366610066890717,3.0271988305250805,True,10000,42
3k_baseline,navier,0.1,Random -> O150,ssim_attack,300,0.6002820259829362,0.6832084739208222,0.08292644793788592,0.07841600477322937,0.08753548988575736,True,10000,42
3k_baseline,navier,0.1,Random -> O150,psnr_final,300,21.52009278933207,24.315628801981607,2.7955360126495363,2.609889561096827,2.9833040477434793,True,10000,42
3k_baseline,navier,0.1,Random -> O150,ssim_final,300,0.5989836318294207,0.6886034090320269,0.08961977720260621,0.08520052715515097,0.0940771234134833,True,10000,42
3k_baseline,navier,0.1,Random -> O300,ber,300,0.4863333333333333,0.4820000000000001,-0.004333333333333332,-0.012000000000000002,0.003444444444444443,False,10000,42
3k_baseline,navier,0.1,Random -> O300,psnr_attack,300,21.590018310546874,24.577697041829428,2.987678731282552,2.7928710391521454,3.1849102425575255,True,10000,42
3k_baseline,navier,0.1,Random -> O300,ssim_attack,300,0.6002820259829362,0.6853995914260547,0.08511756544311841,0.0806212107228736,0.08965100051711003,True,10000,42
3k_baseline,navier,0.1,Random -> O300,psnr_final,300,21.52009278933207,24.457443176905315,2.9373503875732423,2.7506816262404126,3.125323048273722,True,10000,42
3k_baseline,navier,0.1,Random -> O300,ssim_final,300,0.5989836318294207,0.6909902287522952,0.09200659692287445,0.08768823293348153,0.0964262683900694,True,10000,42
