model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Gaussian Blur,telea,0.4,0.39980712890625,21.128514280319212,0.7262438015143077,21.422888352076214,0.7654660284519196,0.10355555555555575,300
Gaussian Blur,telea,0.5,0.4997955322265625,19.949550371170044,0.6701012096802393,20.144796813329062,0.7014529544115067,0.13477777777777786,300
Gaussian Blur,telea,0.6,0.5997798665364583,18.582389475504556,0.6110166124502818,18.714559659957885,0.6337551591793696,0.1866666666666667,300
Gaussian Blur,telea,0.7000000000000001,0.6998195393880209,17.3338338915507,0.5483725156386693,17.4127094745636,0.5624859604239464,0.2521111111111112,300
Gaussian Blur,telea,0.8,0.7998024495442708,16.063896411259968,0.4814229013522466,16.110114618937175,0.48613421455025674,0.33755555555555516,300
Gaussian Blur,telea,0.9,0.8998551432291667,15.024819011688232,0.41691583837072055,15.052284135818482,0.41098185017704963,0.41888888888888887,300
Haar Wavelet,diffusion,0.1,0.09978108723958333,25.87378803888957,0.857408973177274,28.343859265645346,0.9388547350962957,0.06733333333333333,300
Haar Wavelet,diffusion,0.2,0.1997991943359375,23.51398229598999,0.8051380821069082,24.728719698588055,0.8750574479500453,0.07100000000000001,300
Haar Wavelet,diffusion,0.30000000000000004,0.2998077392578125,21.936098210016887,0.7529805725812913,22.623866287867227,0.8103112576405207,0.07588888888888894,300
Haar Wavelet,diffusion,0.4,0.39980712890625,20.434369478225708,0.6966674554347992,20.858350636164346,0.742238050699234,0.08122222222222228,300
Haar Wavelet,diffusion,0.5,0.4997955322265625,19.30572990735372,0.6388497731089592,19.562461544672647,0.6732999300956726,0.09288888888888902,300
Haar Wavelet,diffusion,0.6,0.5997798665364583,18.104454209009806,0.5802130988240242,18.272311547597248,0.602617392539978,0.11100000000000021,300
Haar Wavelet,diffusion,0.7000000000000001,0.6998195393880209,16.99540967305501,0.5177663100759188,17.10019190788269,0.5281542765100797,0.13322222222222244,300
Haar Wavelet,diffusion,0.8,0.7998024495442708,15.819981339772543,0.45329764087994895,15.884248914718627,0.451237798333168,0.17044444444444454,300
